trial_id,controller,noise_std,seed,success,time_to_goal,path_length,efficiency,final_error,goal_x,goal_y
65,proportional,0.1,14,True,2.6499999999999986,3.130860755749304,0.9883575675915444,0.13665008068754816,8.478849870002003,4.248520001508309
66,proportional,0.1,15,True,2.6499999999999986,3.4604177903372557,0.92107943079477,0.1425642457789068,7.2346903116863714,8.342354002024518
67,proportional,0.1,16,True,4.099999999999993,4.403159829216232,0.8546141066962816,0.1378084956754897,1.8466644291537209,4.1327159539239595
68,proportional,0.1,17,True,3.349999999999996,4.324342236249419,0.9726472168351924,0.14770725724590308,8.605673135181114,2.448757820521963
69,proportional,0.1,18,True,3.949999999999994,4.690757752411592,0.8723848178158716,0.1498713044095234,3.5274099523240308,1.744524261983047
70,proportional,0.1,19,True,3.699999999999995,4.276903818189115,0.877405730603398,0.14665629267907632,4.783409161563347,9.332824103350333
71,proportional,0.1,20,True,4.399999999999992,3.8425133246572516,0.8513963898788326,0.1390958360248241,2.095477233187977,5.703475165470392
72,proportional,0.1,21,True,3.5499999999999954,4.328281147380676,0.9264398557491945,0.14238732061258091,7.388210713675827,1.8018808562998805
73,proportional,0.1,22,True,4.149999999999993,4.460005184340266,0.8553193926417632,0.13658785942626595,1.7970253593515102,6.878725188408279
74,proportional,0.1,23,True,4.3499999999999925,5.240268707330171,0.893279994788417,0.1415502396556153,2.157798018858726,2.023372451181964
75,proportional,0.1,24,True,3.4999999999999956,5.024748443630049,0.9704548414207144,0.14279594767192288,8.86704878116667,1.7778741489187575
76,rotate_translate,0.1,0,True,7.94999999999998,6.002367817677573,0.9786011858592177,0.12611885781509433,1.368761715425752,1.1487487197567618
77,rotate_translate,0.1,1,True,5.299999999999989,3.9922675947653,0.9817815337161927,0.1360344939959987,5.606394622302311,9.554173266933418
78,rotate_translate,0.1,2,True,5.299999999999989,4.556755266405953,0.9843751657530864,0.14984008664070061,8.328031665348522,1.827243479215872
79,rotate_translate,0.1,3,True,6.299999999999986,4.414142044070421,0.9698769855270333,0.1366732365873106,1.7708425042926192,3.131294559364897
80,rotate_translate,0.1,4,True,4.049999999999994,3.8779011000363797,0.9960806647569145,0.12610567640015471,9.487504950151308,5.601947975329255
81,rotate_translate,0.1,5,True,4.6499999999999915,3.8313202695365276,0.9854792759746499,0.12510798757700597,8.245026313708422,8.271467107628443
82,rotate_translate,0.1,6,True,4.799999999999991,4.4888480265626365,0.9851149357946594,0.12476703982709468,9.887004911678199,6.694806453464315
83,rotate_translate,0.1,7,True,4.899999999999991,3.6995041818727237,0.9861481940924522,0.09975904646519415,6.625859199442003,9.074924208726179
84,rotate_translate,0.1,8,True,5.949999999999987,4.635280539513917,0.9804820607420223,0.10895922125358518,3.9427504894500465,9.88549159004133
85,rotate_translate,0.1,9,True,4.449999999999992,3.766632846054465,0.9857323577430311,0.1322402940557758,8.832242835730762,3.5813548817879983
86,rotate_translate,0.1,10,True,5.349999999999989,4.769508722937442,0.9926899940026404,0.1402293513189002,9.604015386660778,2.869136290712322
87,rotate_translate,0.1,11,True,5.549999999999988,3.4437757619122826,0.9325199732571251,0.13148481161134526,2.1571318249227964,5.493500761961035
